addressZZZS,cityZZZS,lat,lon,street,streetAlt,housenumber,housenumberAppendix,city,cityAlt,municipality,zipCode,zipName
CESTA OSVOBODILNE FRONTE 44,2000 MARIBOR,46.54946,15.66849,Cesta Osvobodilne fronte,,44,,Maribor,,Maribor,2000,Maribor
CANKARJEVA ULICA 23 A,2000 MARIBOR,46.56374,15.65253,Cankarjeva ulica,,23,A,Maribor,,Maribor,2000,Maribor
JAVORŠKOVA ULICA 9,1315 VELIKE LAŠČE,45.83502,14.63767,Javorškova ulica,,9,,Velike Lašče,,Velike Lašče,1315,Velike Lašče
CESTA KRŠKIH ŽRTEV 132 C,8270 KRŠKO,45.94307,15.48349,Cesta krških žrtev,,132,C,Krško,,Krško,8270,Krško
SPODNJI SLEMEN 11,2352 SELNICA OB DRAVI,46.56018,15.52055,Spodnji Slemen,,11,,Spodnji Slemen,,Selnica ob Dravi,2352,Selnica ob Dravi
TOMŠIČEVA ULICA 23,2000 MARIBOR,46.56585,15.65337,Tomšičeva ulica,,23,,Maribor,,Maribor,2000,Maribor
MALA VAS 56,5230 BOVEC,46.34016,13.55752,Mala vas,,56,,Bovec,,Bovec,5230,Bovec
CESTA KRŠKIH ŽRTEV 112,8270 KRŠKO,45.95115,15.48664,Cesta krških žrtev,,112,,Krško,,Krško,8270,Krško
JEZDARSKA ULICA 7,2000 MARIBOR,46.55122,15.64209,Jezdarska ulica,,7,,Maribor,,Maribor,2000,Maribor
ULICA IVANA PENGOVA 20,1230 DOMŽALE,46.14446,14.59689,Ulica Ivana Pengova,,20,,Domžale,,Domžale,1230,Domžale
GREGORČIČEVA ULICA 1,2230 LENART V SLOV. GORICAH,46.57373,15.83203,Gregorčičeva ulica,,1,,Lenart v Slov. goricah,,Lenart,2230,Lenart v Slov. goricah
LJUBLJANSKA CESTA 80,2310 SLOVENSKA BISTRICA,46.38414,15.56447,Ljubljanska cesta,,80,,Slovenska Bistrica,,Slovenska Bistrica,2310,Slovenska Bistrica
PETKOVŠKOVO NABREŽJE 57,1000 LJUBLJANA,46.05204,14.51312,Petkovškovo nabrežje,,57,,Ljubljana,,Ljubljana,1000,Ljubljana
DOLINSKA CESTA 17 C,6000 KOPER - CAPODISTRIA,45.52901,13.73041,Dolinska cesta,Strada della Valle,17,C,Koper,Capodistria,Koper,6000,Koper - Capodistria
CESTA V MESTNI LOG 55,1000 LJUBLJANA,46.03620,14.48957,Cesta v Mestni log,,55,,Ljubljana,,Ljubljana,1000,Ljubljana
RADVANJSKA CESTA 134,2000 MARIBOR,46.53554,15.62451,Radvanjska cesta,,134,,Maribor,,Maribor,2000,Maribor
ŠKOCJAN 67,8275 ŠKOCJAN,45.90725,15.28993,Škocjan,,67,,Škocjan,,Škocjan,8275,Škocjan
NA TRATAH 4,2250 PTUJ,46.41683,15.87719,Na tratah,,4,,Ptuj,,Ptuj,2250,Ptuj
ULICA PARIŠKE KOMUNE 42,2000 MARIBOR,46.54732,15.64697,Ulica Pariške komune,,42,,Maribor,,Maribor,2000,Maribor
CESTA 24. JUNIJA 31,1231 LJUBLJANA - ČRNUČE,46.09537,14.52704,Cesta 24. junija,,31,,Ljubljana,,Ljubljana,1231,Ljubljana - Črnuče
CESTA LJUBLJANSKE BRIGADE 23,1000 LJUBLJANA,46.08665,14.47871,Cesta Ljubljanske brigade,,23,,Ljubljana,,Ljubljana,1000,Ljubljana
KAJUHOVA ULICA 1 B,6310 IZOLA - ISOLA,45.53446,13.66402,Kajuhova ulica,Via Kajuh,1,B,Izola,Isola,Izola,6310,Izola - Isola
ULICA DUŠANA KVEDRA 27,3230 ŠENTJUR,46.21817,15.39597,Ulica Dušana Kvedra,,27,,Šentjur,,Šentjur,3230,Šentjur
ULICA OKTOBRSKE REVOLUCIJE 11,6310 IZOLA - ISOLA,45.53464,13.66078,Ulica oktobrske revolucije,Via Rivoluzione d'Ottobre,11,,Izola,Isola,Izola,6310,Izola - Isola
STARA CESTA 10,4220 ŠKOFJA LOKA,46.16618,14.31281,Stara cesta,,10,,Škofja Loka,,Škofja Loka,4220,Škofja Loka
PARTIZANSKA POT 8 A,1270 LITIJA,46.05389,14.83656,Partizanska pot,,8,A,Litija,,Litija,1270,Litija
MIRJE 2,1000 LJUBLJANA,46.04487,14.50172,Mirje,,2,,Ljubljana,,Ljubljana,1000,Ljubljana
PREŠERNOVA ULICA 6,3310 ŽALEC,46.25093,15.16216,Prešernova ulica,,6,,Žalec,,Žalec,3310,Žalec
BETNAVSKA CESTA 13,2000 MARIBOR,46.54967,15.64086,Betnavska cesta,,13,,Maribor,,Maribor,2000,Maribor
NOVI TRG 26,1241 KAMNIK,46.22139,14.61328,Novi trg,,26,,Kamnik,,Kamnik,1241,Kamnik
METELKOVA ULICA 15,1000 LJUBLJANA,46.05705,14.51547,Metelkova ulica,,15,,Ljubljana,,Ljubljana,1000,Ljubljana
KRANJSKA CESTA 27,4240 RADOVLJICA,46.34662,14.17529,Kranjska cesta,,27,,Radovljica,,Radovljica,4240,Radovljica
JELOVŠKOVA ULICA 7,1230 DOMŽALE,46.15214,14.59054,Jelovškova ulica,,7,,Spodnje Jarše,,Domžale,1230,Domžale
SPODNJE NEGONJE 16 C,3250 ROGAŠKA SLATINA,46.25074,15.62346,Spodnje Negonje,,16,C,Spodnje Negonje,,Rogaška Slatina,3250,Rogaška Slatina
OB SUHI 5,2390 RAVNE NA KOROŠKEM,46.54372,14.96774,Ob Suhi,,5,,Ravne na Koroškem,,Ravne na Koroškem,2390,Ravne na Koroškem
BLEJSKA CESTA 10,4290 TRŽIČ,46.36361,14.30654,Blejska cesta,,10,,Tržič,,Tržič,4290,Tržič
PANTE 11,4000 KRANJ,46.23346,14.34361,Pante,,11,,Kranj,,Kranj,4000,Kranj
CESTA SOLINARJEV 1,6320 PORTOROŽ - PORTOROSE,45.50452,13.60205,Cesta solinarjev,Strada dei Salinari,1,,Lucija,Lucia,Piran,6320,Portorož - Portorose
PERIČEVA ULICA 29,1000 LJUBLJANA,46.06668,14.51192,Peričeva ulica,,29,,Ljubljana,,Ljubljana,1000,Ljubljana
OBALA 114,6320 PORTOROŽ - PORTOROSE,45.50349,13.60337,Obala,Lungomare,114,,Lucija,Lucia,Piran,6320,Portorož - Portorose
GAČNIKOVA POT 3,2390 RAVNE NA KOROŠKEM,46.54417,14.96289,Gačnikova pot,,3,,Ravne na Koroškem,,Ravne na Koroškem,2390,Ravne na Koroškem
NAZORJEVA ULICA 14,3000 CELJE,46.23485,15.24024,Nazorjeva ulica,,14,,Celje,,Celje,3000,Celje
PILŠTANJ 20,3261 LESIČNO,46.10006,15.52495,Pilštanj,,20,,Pilštanj,,Kozje,3261,Lesično
BISTRICA OB SOTLI 61,3256 BISTRICA OB SOTLI,46.05571,15.66327,Bistrica ob Sotli,,61,,Bistrica ob Sotli,,Bistrica ob Sotli,3256,Bistrica ob Sotli
VIDEM 17,1262 DOL PRI LJUBLJANI,46.08670,14.63413,Videm,,17,,Videm,,Dol pri Ljubljani,1262,Dol pri Ljubljani
LASTINE 17,3250 ROGAŠKA SLATINA,46.22959,15.64148,Lastine,,17,,Rogaška Slatina,,Rogaška Slatina,3250,Rogaška Slatina
JURČIČEVA ULICA 32,8360 ŽUŽEMBERK,45.83205,14.93017,Jurčičeva ulica,,32,,Žužemberk,,Žužemberk,8360,Žužemberk
TRG MARŠALA TITA 7,5220 TOLMIN,46.18300,13.73269,Trg maršala Tita,,7,,Tolmin,,Tolmin,5220,Tolmin
OB ŽELEZNICI 26,3313 POLZELA,46.27866,15.07283,Ob železnici,,26,,Polzela,,Polzela,3313,Polzela
MALEČNIK 14,2229 MALEČNIK,46.55410,15.70257,Malečnik,,14,,Malečnik,,Maribor,2229,Malečnik
CESTA ZMAGE 1,1410 ZAGORJE OB SAVI,46.13384,14.99570,Cesta zmage,,1,,Zagorje ob Savi,,Zagorje ob Savi,1410,Zagorje ob Savi
VEZNA POT 1,2000 MARIBOR,46.57373,15.64297,Vezna pot,,1,,Ribniško selo,,Maribor,2000,Maribor
REDELONGHIJEVA ULICA 12,1000 LJUBLJANA,46.04099,14.48579,Redelonghijeva ulica,,12,,Ljubljana,,Ljubljana,1000,Ljubljana
DUNAJSKA CESTA 59,1000 LJUBLJANA,46.06581,14.50894,Dunajska cesta,,59,,Ljubljana,,Ljubljana,1000,Ljubljana
PLETERJE 24,8272 ZDOLE,45.97319,15.53447,Pleterje,,24,,Pleterje,,Krško,8272,Zdole
TRG ALFONZA ŠARHA 18,2310 SLOVENSKA BISTRICA,46.39443,15.57367,Trg Alfonza Šarha,,18,,Slovenska Bistrica,,Slovenska Bistrica,2310,Slovenska Bistrica
KOLODVORSKA CESTA 24,6257 PIVKA,45.68043,14.19460,Kolodvorska cesta,,24,,Pivka,,Pivka,6257,Pivka
NOVI DOM 11,1430 HRASTNIK,46.14030,15.08513,Novi dom,,11,,Hrastnik,,Hrastnik,1430,Hrastnik
CESTA LEONA DOBROTINŠKA 6 A,3230 ŠENTJUR,46.21416,15.39336,Cesta Leona Dobrotinška,,6,A,Šentjur,,Šentjur,3230,Šentjur
CANKARJEVA ULICA 6,6230 POSTOJNA,45.77464,14.21517,Cankarjeva ulica,,6,,Postojna,,Postojna,6230,Postojna
CESTA K DRAVI 8,2241 SPODNJI DUPLEK,46.50113,15.74875,Cesta k Dravi,,8,,Spodnji Duplek,,Duplek,2241,Spodnji Duplek
PARTIZANSKA ULICA 8 A,1370 LOGATEC,45.91832,14.22152,Partizanska ulica,,8,A,Logatec,,Logatec,1370,Logatec
DEKANI 191,6271 DEKANI,45.54809,13.81190,Dekani,,191,,Dekani,,Koper,6271,Dekani
NOVI TRG 26,1241 KAMNIK,46.22139,14.61328,Novi trg,,26,,Kamnik,,Kamnik,1241,Kamnik
DALMATINOVA ULICA 7,1000 LJUBLJANA,46.05425,14.50563,Dalmatinova ulica,,7,,Ljubljana,,Ljubljana,1000,Ljubljana
JEZERO 1,1352 PRESERJE,45.97634,14.41959,Jezero,,1,,Jezero,,Brezovica,1352,Preserje
JAMSKA CESTA 23,6230 POSTOJNA,45.77731,14.20921,Jamska cesta,,23,,Postojna,,Postojna,6230,Postojna
ČUČKOVA ULICA 17,1000 LJUBLJANA,46.03501,14.45303,Čučkova ulica,,17,,Ljubljana,,Ljubljana,1000,Ljubljana
KOLODVORSKA CESTA 24,6257 PIVKA,45.68043,14.19460,Kolodvorska cesta,,24,,Pivka,,Pivka,6257,Pivka
PREŠERNOVA CESTA 21 B,1230 DOMŽALE,46.14070,14.58948,Prešernova cesta,,21,B,Domžale,,Domžale,1230,Domžale
PUCONCI 251,9201 PUCONCI,46.69401,16.17399,Puconci,,251,,Puconci,,Puconci,9201,Puconci
VEGOVA ULICA 22,1251 MORAVČE,46.13743,14.74729,Vegova ulica,,22,,Moravče,,Moravče,1251,Moravče
ŽELEZNIKOVA ULICA 4,2000 MARIBOR,46.55037,15.66738,Železnikova ulica,,4,,Maribor,,Maribor,2000,Maribor
CELJSKA CESTA 10,3250 ROGAŠKA SLATINA,46.23916,15.63420,Celjska cesta,,10,,Rogaška Slatina,,Rogaška Slatina,3250,Rogaška Slatina
