cityZZZS,addressZZZS,lat,lon,street,streetAlt,housenumber,housenumberAppendix,city,cityAlt,municipalityPart,municipality,zipCode,zipName,statisticalRegion
1434 LOKA PRI ZIDANEM MOSTU,LOKA PRI ZIDANEM MOSTU 48,46.05586,15.20767,Loka pri Zidanem Mostu,,48,,Loka pri Zidanem Mostu,,Loka pri Zidanem Mostu,Sevnica,1434,Loka pri Zidanem Mostu,Posavska
2000 MARIBOR,AŠKERČEVA ULICA 7,46.56465,15.65189,Aškerčeva ulica,,7,,Maribor,,Ivan Cankar,Maribor,2000,Maribor,Podravska
2000 MARIBOR,BETETTOVA ULICA 11,46.54059,15.63068,Betettova ulica,,11,,Maribor,,Nova vas,Maribor,2000,Maribor,Podravska
2000 MARIBOR,BETNAVSKA CESTA 13,46.54967,15.64086,Betnavska cesta,,13,,Maribor,,Magdalena,Maribor,2000,Maribor,Podravska
2000 MARIBOR,BORŠTNIKOVA ULICA 79,46.53511,15.62851,Borštnikova ulica,,79,,Maribor,,Radvanje,Maribor,2000,Maribor,Podravska
2000 MARIBOR,BORŠTNIKOVA ULICA 83,46.53525,15.62858,Borštnikova ulica,,83,,Maribor,,Radvanje,Maribor,2000,Maribor,Podravska
2000 MARIBOR,CAFOVA ULICA 4,46.56132,15.65551,Cafova ulica,,4,,Maribor,,Ivan Cankar,Maribor,2000,Maribor,Podravska
2000 MARIBOR,CANKARJEVA ULICA 23 A,46.56374,15.65253,Cankarjeva ulica,,23,A,Maribor,,Ivan Cankar,Maribor,2000,Maribor,Podravska
2000 MARIBOR,CANKARJEVA ULICA 6,46.56124,15.65334,Cankarjeva ulica,,6,,Maribor,,Ivan Cankar,Maribor,2000,Maribor,Podravska
2000 MARIBOR,CANKARJEVA ULICA 6 D,46.56117,15.65419,Cankarjeva ulica,,6,D,Maribor,,Ivan Cankar,Maribor,2000,Maribor,Podravska
2000 MARIBOR,CESTA OSVOBODILNE FRONTE 43,46.54995,15.66864,Cesta Osvobodilne fronte,,43,,Maribor,,Pobrežje,Maribor,2000,Maribor,Podravska
2000 MARIBOR,CESTA OSVOBODILNE FRONTE 44,46.54946,15.66849,Cesta Osvobodilne fronte,,44,,Maribor,,Pobrežje,Maribor,2000,Maribor,Podravska
2000 MARIBOR,CESTA PROLETARSKIH BRIGAD 79,46.54401,15.62699,Cesta proletarskih brigad,,79,,Maribor,,Nova vas,Maribor,2000,Maribor,Podravska
2000 MARIBOR,CESTA XIV. DIVIZIJE 30,46.55159,15.66267,Cesta XIV. divizije,,30,,Maribor,,Pobrežje,Maribor,2000,Maribor,Podravska
2000 MARIBOR,DVOŘAKOVA ULICA 10,46.55362,15.64424,Dvořakova ulica,,10,,Maribor,,Magdalena,Maribor,2000,Maribor,Podravska
2000 MARIBOR,GLAVNI TRG 4,46.55729,15.64522,Glavni trg,,4,,Maribor,,Center,Maribor,2000,Maribor,Podravska
2000 MARIBOR,GORKEGA ULICA 18,46.55341,15.64215,Gorkega ulica,,18,,Maribor,,Magdalena,Maribor,2000,Maribor,Podravska
2000 MARIBOR,GOSPEJNA ULICA 11,46.55957,15.64234,Gospejna ulica,,11,,Maribor,,Center,Maribor,2000,Maribor,Podravska
2000 MARIBOR,GOSPOSVETSKA CESTA 41,46.56126,15.63472,Gosposvetska cesta,,41,,Maribor,,Koroška vrata,Maribor,2000,Maribor,Podravska
2000 MARIBOR,HRENOVA ULICA 6,46.55432,15.62367,Hrenova ulica,,6,,Maribor,,Studenci,Maribor,2000,Maribor,Podravska
2000 MARIBOR,ISTRSKA ULICA 60,46.54753,15.67320,Istrska ulica,,60,,Maribor,,Pobrežje,Maribor,2000,Maribor,Podravska
2000 MARIBOR,JEZDARSKA ULICA 2,46.55118,15.64129,Jezdarska ulica,,2,,Maribor,,Magdalena,Maribor,2000,Maribor,Podravska
2000 MARIBOR,JEZDARSKA ULICA 7,46.55122,15.64209,Jezdarska ulica,,7,,Maribor,,Magdalena,Maribor,2000,Maribor,Podravska
2000 MARIBOR,KALOHOVA ULICA 18,46.55507,15.61747,Kalohova ulica,,18,,Maribor,,Studenci,Maribor,2000,Maribor,Podravska
2000 MARIBOR,KARDELJEVA CESTA 76,46.54170,15.63274,Kardeljeva cesta,,76,,Maribor,,Nova vas,Maribor,2000,Maribor,Podravska
2000 MARIBOR,KARDELJEVA CESTA 84,46.54116,15.63252,Kardeljeva cesta,,84,,Maribor,,Nova vas,Maribor,2000,Maribor,Podravska
2000 MARIBOR,KETTEJEVA ULICA 14,46.54801,15.63859,Kettejeva ulica,,14,,Maribor,,Tabor,Maribor,2000,Maribor,Podravska
2000 MARIBOR,KNAFELČEVA ULICA 31,46.53891,15.63321,Knafelčeva ulica,,31,,Maribor,,Nova vas,Maribor,2000,Maribor,Podravska
